window,seed,can_net_aer_ew,can_gross_aer_ew,can_turnover,e1_net_aer_ew,e1_gross_aer_ew,e1_turnover,e1_avg_holdings,turnover_drop_pct,frozen_ann_saving,realized_ann_cost_saving,gross_aer_change,net_aer_change
backtest,s100,0.14333194803525973,0.1870124634619701,0.10251077309028427,0.18435334910793033,0.2306869665924871,0.10495554504731176,49.35820895522388,-0.023848927125681874,-0.00178957307254413,-0.0008947865362720639,0.04367450313051702,0.041021401072670605
backtest,s101,0.2905884723135348,0.3401936111571413,0.10316507762937403,0.26785629068527506,0.31850005911465384,0.10712372491229304,49.54477611940298,-0.038371970184917226,-0.002897729811096716,-0.0014488649055483553,-0.021693552042487463,-0.02273218162825974
backtest,s102,0.18670550668946628,0.2323346286083161,0.10317473380423303,0.22815375827784634,0.2774732583743189,0.1076623393657351,49.47014925373134,-0.04349519883440656,-0.0032849272710195245,-0.0016424636355097586,0.0451386297660028,0.04144825158838006
2025h2,s100,0.0594849966708626,0.10055914573214197,0.10394740081022656,0.07366025580110791,0.11769152821662598,0.10984700059794635,48.80952380952381,-0.05675562584282878,-0.004318507044610876,-0.002159253522305441,0.01713238248448401,0.01417525913024531
2025h2,s101,0.11158617115583724,0.1544826121386631,0.10349623841189202,0.13634723237394075,0.1822190759778266,0.10818015173974882,49.6031746031746,-0.04525684604319502,-0.0034286245559911805,-0.001714312277995587,0.027736463839163505,0.02476106121810351
2025h2,s102,0.038993191927060744,0.07928879325535942,0.103978014713715,0.07663183758802128,0.11998733163852537,0.10790100896711778,49.6031746031746,-0.03772907440293083,-0.002871631793490842,-0.0014358158967454188,0.04069853838316595,0.037638645660960535
