date,file,sha256,n_stocks,created_utc,late
2026-08-14,signals_2026-08-14.parquet,d8678b0b215e36004ec76badce87d10cc3985e511fb3f5a16f0f305cfe9485c9,298,2026-08-16T06:38:28+00:00,true
2026-08-17,signals_2026-08-17.parquet,c0858312a37957dfcd749b786a19b6eef2cf2731231604df1d56e7b32fd3759c,298,2026-08-17T08:33:29+00:00,false
2026-08-18,signals_2026-08-18.parquet,992381db634db98e81eaa8e8f99e401b2f007cd7d38fd95b869ca3fa04a2bc4e,298,2026-08-18T08:31:43+00:00,false
2026-08-21,signals_2026-08-21.parquet,b54822ecd6c327a80d97f54bfddbaed308cd988c7182e28519e386fb750f0b59,298,2026-08-24T08:31:43+00:00,true
2026-08-24,signals_2026-08-24.parquet,43eb2c044d72eeb63c0f92022f87eb8e44122cc91e550c7e9b3643c807291bb9,298,2026-08-25T08:31:43+00:00,true
2026-08-25,signals_2026-08-25.parquet,5a8289ab56b7eaaf0fd2343ed52b940d39fe1a8f07a2ff4d8aa3c257fac8ad18,298,2026-08-26T08:31:43+00:00,true
2026-08-26,signals_2026-08-26.parquet,81bb1d97c8705ccf67f077ed0d8add7e976522a0d36ec39a3911600c606b82ef,298,2026-08-27T08:31:43+00:00,true
